site,block,variety,yield
site_4,1,variety_16,1389.660363
site_3,4,variety_37,1391.746158
site_9,2,variety_17,1393.727662
site_9,4,variety_9,1397.794961
site_3,1,variety_13,1398.410344
site_5,2,variety_35,1400.167551
site_9,4,variety_31,1401.862259
site_3,4,variety_7,1403.565658
site_3,3,variety_32,1404.948791
site_3,2,variety_2,1409.852626
site_4,1,variety_21,1414.064155
site_3,3,variety_26,1416.391073
site_5,1,variety_5,1418.894072
site_8,1,variety_3,1419.494281
site_8,3,variety_7,1420.994804
site_3,2,variety_31,1422.92952
site_4,1,variety_38,1423.554519
site_1,2,variety_2,1428.977583
site_8,2,variety_21,1429.997939
site_2,2,variety_34,1430.33335
site_3,2,variety_11,1436.006414
site_3,4,variety_5,1436.069284
site_3,4,variety_32,1440.092943
site_5,4,variety_24,1443.382599
site_8,4,variety_8,1446.503686
site_9,2,variety_15,1447.95831
site_5,1,variety_17,1450.585107
site_9,2,variety_28,1453.381375
site_3,3,variety_33,1454.804449
site_1,1,variety_34,1458.80444
site_4,4,variety_2,1458.80444
site_3,4,variety_20,1458.890978
site_4,1,variety_15,1460.160206
site_3,4,variety_29,1460.52559
site_2,1,variety_2,1462.871739
site_8,2,variety_5,1463.009434
site_5,4,variety_5,1467.871126
site_4,2,variety_21,1468.294803
site_1,2,variety_23,1472.362102
site_9,3,variety_11,1473.717868
site_9,3,variety_10,1477.785167
site_8,4,variety_30,1479.515181
site_3,4,variety_10,1480.140931
site_3,2,variety_32,1481.775543
site_9,3,variety_37,1484.563998
site_9,3,variety_11,1485.919764
site_3,3,variety_28,1487.496684
site_8,4,variety_7,1488.518316
site_9,2,variety_37,1488.631297
site_9,3,variety_16,1492.698595
site_8,4,variety_29,1493.019884
site_8,3,variety_36,1493.019884
site_4,4,variety_7,1500.833192
site_8,4,variety_9,1502.023018
site_9,2,variety_8,1502.188959
site_8,3,variety_6,1503.523541
site_4,1,variety_36,1503.544725
site_2,3,variety_38,1504.900491
site_8,1,variety_1,1506.524586
site_8,3,variety_12,1506.524586
site_5,2,variety_36,1509.645673
site_5,3,variety_35,1511.086174
site_3,4,variety_28,1511.418598
site_3,3,variety_7,1512.01586
site_4,3,variety_2,1513.035088
site_9,1,variety_13,1514.390854
site_8,4,variety_4,1517.028243
site_9,3,variety_10,1518.458153
site_4,3,variety_38,1525.236984
site_3,1,variety_27,1525.91006
site_4,2,variety_2,1526.59275
site_3,3,variety_27,1529.179283
site_9,3,variety_27,1529.304283
site_3,3,variety_29,1530.813895
site_5,3,variety_36,1532.693698
site_8,2,variety_9,1533.533991
site_4,2,variety_4,1534.727348
site_4,4,variety_5,1534.727348
site_3,2,variety_18,1536.535036
site_5,1,variety_19,1538.455705
site_5,1,variety_16,1539.896206
site_5,1,variety_6,1539.896206
site_1,3,variety_36,1541.506179
site_5,3,variety_12,1542.777209
site_8,2,variety_24,1544.037648
site_5,2,variety_5,1544.217711
site_3,1,variety_28,1545.5254
site_1,4,variety_36,1546.929243
site_5,4,variety_23,1551.420219
site_2,4,variety_34,1555.063841
site_8,4,variety_24,1557.542351
site_8,3,variety_4,1557.542351
site_4,2,variety_23,1559.131139
site_9,3,variety_13,1560.486906
site_4,1,variety_18,1561.842672
site_4,4,variety_21,1561.842672
site_4,2,variety_7,1561.842672
site_9,3,variety_17,1563.198438
site_3,4,variety_17,1564.323435
site_5,2,variety_23,1568.706238
site_8,2,variety_35,1569.546531
site_1,4,variety_24,1569.977269
site_4,4,variety_29,1575.400334
site_1,3,variety_12,1576.7561
site_4,4,variety_4,1578.111866
site_1,4,variety_38,1579.467632
site_8,3,variety_13,1583.051233
site_2,4,variety_1,1584.890697
site_4,3,variety_34,1584.890697
site_4,2,variety_38,1588.957996
site_8,3,variety_5,1589.053323
site_1,3,variety_38,1590.313762
site_1,2,variety_4,1590.313762
site_4,3,variety_4,1591.669528
site_2,3,variety_1,1594.381061
site_8,4,variety_17,1596.555936
site_4,1,variety_30,1597.092593
site_5,3,variety_23,1601.837775
site_3,3,variety_10,1602.736811
site_4,4,variety_12,1603.871424
site_3,3,variety_13,1604.371423
site_5,2,variety_3,1607.599781
site_4,3,variety_7,1610.650255
site_8,4,variety_15,1611.561161
site_3,4,variety_33,1611.88435
site_9,3,variety_32,1612.006021
site_3,3,variety_2,1613.361788
site_8,3,variety_9,1616.062728
site_4,3,variety_24,1617.429086
site_1,4,variety_2,1618.784853
site_8,2,variety_19,1620.564296
site_1,3,variety_23,1621.496385
site_3,2,variety_17,1621.534846
site_9,1,variety_12,1624.207917
site_1,3,variety_35,1625.563684
site_4,3,variety_35,1628.275216
site_1,1,variety_2,1630.986748
site_1,4,variety_34,1630.986748
site_1,3,variety_20,1633.698281
site_5,3,variety_3,1634.969312
site_4,4,variety_16,1639.121346
site_8,1,variety_34,1640.071088
site_4,2,variety_35,1641.832878
site_5,4,variety_3,1643.612321
site_1,3,variety_3,1644.54441
site_4,1,variety_37,1647.255943
site_8,3,variety_8,1649.074223
site_8,4,variety_20,1652.075268
site_3,2,variety_30,1653.409775
site_5,4,variety_18,1653.695832
site_3,1,variety_30,1654.227081
site_4,2,variety_29,1658.102073
site_4,4,variety_35,1659.457839
site_9,2,variety_30,1659.457839
site_8,4,variety_19,1659.577881
site_3,2,variety_6,1660.765528
site_4,4,variety_38,1660.813605
site_9,3,variety_12,1660.813605
site_4,2,variety_36,1663.525137
site_3,4,variety_26,1663.594664
site_8,3,variety_11,1664.079448
site_4,3,variety_23,1664.880904
site_4,2,variety_1,1667.592436
site_4,1,variety_28,1673.015501
site_4,4,variety_9,1673.015501
